0,Mens en maatschappij in Japan,Criminaliteit in Japan
1,Mens en maatschappij in Japan,Economie van Japan
2,Mens en maatschappij in Japan,Krijgswezen van Japan
3,Mens en maatschappij in Japan,Onderwijs in Japan
4,Mens en maatschappij in Japan,Japanse organisatie
5,Mens en maatschappij in Japan,Politiek in Japan
6,Mens en maatschappij in Japan,Japans recht
7,Mens en maatschappij in Japan,Recreatie in Japan
8,Mens en maatschappij in Japan,Verkeer en vervoer in Japan
9,Romeinen in Klein-Azië,Koning van Pergamon
10,Romeinen in Klein-Azië,Mithridatische oorlogen
11,Kok met Michelinster,Belgische kok met Michelinster
12,Kok met Michelinster,Nederlandse kok met Michelinster
13,Pleziervaart,Jachthaven
14,Hogeronderwijsinstelling naar land,Hogeschool naar land
15,Hogeronderwijsinstelling naar land,Lijsten van hogeronderwijsinstellingen
16,Hogeronderwijsinstelling naar land,Universiteit naar land
17,Hogeronderwijsinstelling naar land,Hogeronderwijsinstelling naar territorium
18,Hogeronderwijsinstelling naar land,Hogeronderwijsinstelling in Albanië
19,Hogeronderwijsinstelling naar land,Hogeronderwijsinstelling in Armenië
20,Hogeronderwijsinstelling naar land,Hogeronderwijsinstelling in Australië
21,Hogeronderwijsinstelling naar land,Hogeronderwijsinstelling in Azerbeidzjan
22,Hogeronderwijsinstelling naar land,Hogeronderwijsinstelling in België
23,Hogeronderwijsinstelling naar land,Hogeronderwijsinstelling in Canada
80754,Criminaliteit in Japan,Japans crimineel
80755,Criminaliteit in Japan,Japans misdaadslachtoffer
80756,Militair van de Geconfedereerde Staten,Generaal van de Geconfedereerde Staten
80757,Sonic the Hedgehog,Personage uit Sonic the Hedgehog
80758,Sonic the Hedgehog,Sonic the Hedgehog-spel
